augeas,hosts,augeas with keytometa
37.11,0.17,38.39
37.15,0.16,39.73
36.54,0.25,38.73
37.23,0.16,38.98
36.48,0.16,38.35
39.18,0.16,39.21
36.89,0.16,38.91
36.65,0.16,40.44
38.19,0.16,39.86
38.56,0.16,39.37
37.35,0.16,39.86
