augeas,hosts,augeas with keytometa
30.31,0.15,32.60
31.36,0.15,31.91
31.43,0.17,33.63
32.37,0.16,32.39
30.04,0.15,32.20
32.62,0.17,32.35
30.20,0.15,31.71
30.06,0.15,31.68
30.31,0.15,31.73
30.16,0.16,31.82
30.27,0.15,31.48
