augeas,hosts,augeas with keytometa
21.21,0.13,22.45
22.01,0.15,22.14
20.59,0.13,23.14
20.84,0.13,22.20
20.51,0.13,21.75
20.34,0.13,21.70
21.10,0.14,21.76
21.27,0.21,22.34
20.39,0.13,23.18
20.97,0.13,22.26
19.92,0.13,22.32
